,name,rating,price,zip_code,categories,cuisine,borough,borough,medincome,population,foreign born persons pct,whitenolatino
0,Piccoli Trattoria,4.5,2,11215,"Italian, Pasta Shops, Wine Bars",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
1,Osteria Brooklyn,4.5,3,11205,Italian,Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
2,Cent'Anni,4.0,2,11238,Italian,Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
3,Ammazzacaffè,4.5,2,11211,"Cocktail Bars, Italian, Wine Bars",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
4,Evelina,4.5,2,11205,Italian,Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
5,Camillo,4.0,2,11225,Italian,Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
6,Mariella,4.5,2,11215,"Italian, Gluten-Free, Salad",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
7,Positano Restaurant,4.5,3,11209,"Italian, Gluten-Free, Seafood",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
8,Barboncino Pizza & Bar,4.5,2,11238,"Pizza, Bars, Italian",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
9,Da Andrea - Greenwich Village,4.5,2,10011,"Italian, Mediterranean, Breakfast & Brunch",Italian,"Brooklyn, NY",Manhattan,99880,1596273,28.1,45.5
10,Michael's of Brooklyn,4.5,3,11229,Italian,Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
11,Montesacro Pinseria Brooklyn,4.5,2,11211,"Italian, Pizza, Bars",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
12,Brooklyn Roots Italian,4.5,3,11209,Italian,Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
13,Il Posto,4.0,3,11234,Italian,Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
14,Gino's Brick Oven Pizza & Trattoria,4.0,2,11225,"Italian, Pizza, Wine Bars",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
15,Forma Pasta Factory,4.5,2,11238,"Italian, Pasta Shops, Salad",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
16,Gersi,4.5,2,11231,"Italian, Wine Bars, Breakfast & Brunch",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
17,Bamonte's,4.0,2,11211,Italian,Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
18,Lillo Cucina Italiana,5.0,2,11201,"Cafes, Italian",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
19,Terre,4.5,3,11215,"Italian, Wine Bars, Breakfast & Brunch",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
20,Aita Trattoria,4.0,2,11238,"Italian, Wine Bars, Cocktail Bars",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
21,Scottadito Osteria Toscana,4.0,3,11215,"Italian, Venues & Event Spaces",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
22,Da Nonna Rosa,4.0,2,11215,"Italian, Pizza, Venues & Event Spaces",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
23,Fragole Ristorante,4.5,2,11231,"Italian, Wine Bars, Cocktail Bars",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
24,Gino's Restaurant,4.0,2,11209,"Pizza, Italian, Wine Bars",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
25,Santa Panza,4.5,2,11221,"Pizza, Italian, Breakfast & Brunch",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
26,Pomp and Circumstance,5.0,3,11211,"Italian, Mediterranean, Middle Eastern",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
27,Otis,5.0,3,11206,"New American, Cocktail Bars",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
28,Aita,4.0,3,11238,"Italian, Wine Bars, Burgers",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
29,Vetro Restaurant & Lounge,4.5,3,11414,"Italian, Lounges, Venues & Event Spaces",Italian,"Brooklyn, NY",Queens,82431,2278029,47.1,23.9
30,Fontanas's,4.0,2,11234,"Italian, Seafood, Wraps",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
31,Mama Rao Cucina Italiana,4.5,3,11219,"Italian, Party & Event Planning",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
32,L'Artusi,4.5,3,10014,"Italian, Cocktail Bars",Italian,"Brooklyn, NY",Manhattan,99880,1596273,28.1,45.5
33,Saraghina Pizzeria,4.0,2,11233,"Pizza, Italian, Bars",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
34,Locanda Vini e Olii,4.0,3,11238,"Italian, Wine Bars",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
35,Aurora,4.0,2,11249,"Italian, Comfort Food",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
36,Roberta's,4.0,2,11206,"Pizza, Italian",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
37,Lilia,4.0,0,11211,"Italian, Cocktail Bars",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
38,Olio e Più,4.5,2,10014,"Pizza, Italian, Cocktail Bars",Italian,"Brooklyn, NY",Manhattan,99880,1596273,28.1,45.5
39,Naked Dog,4.5,2,11222,"Italian, Wine Bars, Cocktail Bars",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
40,Testo,4.5,2,11206,"Italian, Gluten-Free, Breakfast & Brunch",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
41,Graziella's,4.0,2,11205,"Italian, Pizza, Bars",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
42,La Nonna Ristorante & Bar,4.0,2,11249,"Italian, Bars",Italian,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
43,South Brooklyn Foundry,4.5,2,11209,"New American, Breakfast & Brunch, Burgers",American,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
44,Sweet Brooklyn Bar And Grill,4.0,2,11216,"Gastropubs, American, Breakfast & Brunch",American,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
45,Otis,5.0,3,11206,"New American, Cocktail Bars",American,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
46,Midwood Flats,4.0,2,11225,"Cocktail Bars, Pubs, Bartenders",American,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
47,The Brooklyn Tree,4.5,2,11206,"Comfort Food, New American, Breakfast & Brunch",American,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
48,The Wheelhouse,4.0,2,11237,"New American, Sandwiches, Bars",American,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
49,Walter's,4.0,2,11217,"New American, Cocktail Bars",American,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
50,Hart's Restaurant,4.5,3,11238,New American,American,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
51,Mama Fox,4.0,2,11233,"New American, Cocktail Bars",American,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
52,The Cabin NYC,4.0,2,10009,"New American, Cocktail Bars, Breakfast & Brunch",American,"Brooklyn, NY",Manhattan,99880,1596273,28.1,45.5
53,Endswell Bar & Bistro,4.5,2,11217,"Cocktail Bars, French",American,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
54,Concrete,4.5,2,11206,"Bars, Breakfast & Brunch, Sicilian",American,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
55,Charm Bar & Restaurant,4.0,3,11217,"Caribbean, New American, Cocktail Bars",American,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
56,Buttermilk Channel,4.0,2,11231,Breakfast & Brunch,American,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
57,The Four Horsemen,4.5,2,11211,"Wine Bars, New American",American,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
58,Milk & Honey Cafe,4.0,2,11230,"Coffee & Tea, Desserts, Breakfast & Brunch",American,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
59,Sunday in Brooklyn,4.0,2,11249,"New American, Breakfast & Brunch, Cocktail Bars",American,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
60,Emily,4.0,2,11238,American,American,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
61,Mayfield,4.0,2,11238,"New American, Breakfast & Brunch",American,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
62,Sweet Chick,4.0,2,11217,"Breakfast & Brunch, Southern, Chicken Shop",American,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
63,Sunken Harbor Club,4.5,3,11201,"Cocktail Bars, Tiki Bars",American,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
64,Peaches HotHouse,4.0,2,11216,"Southern, American, Bars",American,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
65,Mom's Kitchen & Bar,4.5,2,10019,"Comfort Food, Breakfast & Brunch, Bars",American,"Brooklyn, NY",Manhattan,99880,1596273,28.1,45.5
66,J&A Burgers N Shakes,3.5,1,11237,"Burgers, Wraps",American,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
67,Lincoln Station,4.0,2,11238,"American, Cafes",American,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
68,Peaches,3.5,2,11233,"Southern, Seafood, Breakfast & Brunch",American,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
69,OTB,4.5,2,11211,"New American, Cocktail Bars, Gastropubs",American,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
70,St. Anselm,4.0,3,11211,"New American, Wine Bars, Steakhouses",American,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
71,Baron's,4.0,2,11205,"New American, Bars, Seafood",American,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
72,Sweetwater Restaurant,4.0,2,11249,"New American, Bars",American,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
73,Honey Badger,4.0,3,11225,"New American, Seafood",American,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
74,Trad Room,4.5,2,11233,"Japanese, Sushi Bars, Cocktail Bars",Japanese,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
75,Izakaya Nana,4.5,3,11354,Izakaya,Japanese,"Brooklyn, NY",Queens,82431,2278029,47.1,23.9
76,Oita NYC,4.5,2,11215,"Sushi Bars, Japanese, Asian Fusion",Japanese,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
77,U-gu,4.5,2,11205,"Sushi Bars, Japanese",Japanese,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
78,Okonomi,4.5,3,11211,"Japanese, Seafood",Japanese,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
79,Fukurou Brooklyn,4.5,2,11237,Ramen,Japanese,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
80,Izakaya Fuku,4.5,2,11372,Japanese,Japanese,"Brooklyn, NY",Queens,82431,2278029,47.1,23.9
81,Raku,4.5,2,10003,"Japanese, Noodles",Japanese,"Brooklyn, NY",Manhattan,99880,1596273,28.1,45.5
82,Karasu,4.0,3,11217,"Japanese, Cocktail Bars",Japanese,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
83,Ako,4.0,2,11211,"Sushi Bars, Japanese, Wine Bars",Japanese,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
84,Sushi Yashin,4.0,2,11215,"Japanese, Sushi Bars",Japanese,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
85,Izakaya Ajimi,4.5,2,11214,"Izakaya, Ramen",Japanese,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
86,750 Myrtle Diner,4.5,2,11205,"Tapas Bars, Izakaya",Japanese,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
87,Uotora,4.5,0,11216,"Japanese, Sushi Bars",Japanese,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
88,Chuko,4.0,2,11238,"Asian Fusion, Ramen",Japanese,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
89,Wasan Brooklyn,4.0,2,11217,Japanese,Japanese,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
90,Geido,4.5,2,11217,"Japanese, Sushi Bars",Japanese,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
91,Ki Sushi,4.5,2,11217,"Japanese, Sushi Bars",Japanese,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
92,Gen,4.0,2,11238,"Japanese, Sushi Bars",Japanese,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
93,ACRE,4.5,2,11222,"Breakfast & Brunch, Japanese, Coffee & Tea",Japanese,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
94,Raku,4.5,2,10012,"Japanese, Noodles",Japanese,"Brooklyn, NY",Manhattan,99880,1596273,28.1,45.5
95,Nami Nori,4.5,3,11211,"Sushi Bars, Japanese, Gluten-Free",Japanese,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
96,Ume Williamsburg,4.0,0,11249,Sushi Bars,Japanese,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
97,Bushniwa,4.0,2,11206,"Japanese, Sushi Bars, Asian Fusion",Japanese,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
98,1 OR 8,4.0,3,11205,"Japanese, Sushi Bars",Japanese,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
99,Bozu,4.0,2,11211,"Japanese, Bars",Japanese,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
100,Karazishi Botan,4.5,2,11231,Ramen,Japanese,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
101,Ten Japanese Cuisine,4.0,2,11215,"Japanese, Sushi Bars",Japanese,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
102,Yopparai,4.5,3,10002,Izakaya,Japanese,"Brooklyn, NY",Manhattan,99880,1596273,28.1,45.5
103,Benemon,4.5,2,10003,"Japanese, Tapas/Small Plates, Cocktail Bars",Japanese,"Brooklyn, NY",Manhattan,99880,1596273,28.1,45.5
104,Samurai Papa BS,4.0,2,11216,Ramen,Japanese,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
105,Chavela's,4.0,2,11238,"Mexican, Bars",Mexican,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
106,Chela Park Slope,4.5,2,11215,"Mexican, Cocktail Bars, Breakfast & Brunch",Mexican,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
107,Cruz Del Sur,4.5,2,11238,"Tacos, Cocktail Bars",Mexican,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
108,Taqueria Milear,4.0,1,11216,Mexican,Mexican,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
109,Casa Azul,4.5,2,11215,"Mexican, Cocktail Bars",Mexican,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
110,Calabrije's Margaritas & Tacos,4.0,2,11237,"Tacos, Cocktail Bars",Mexican,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
111,Las Santas,4.0,2,11217,"Mexican, Cocktail Bars, Breakfast & Brunch",Mexican,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
112,Taqueria El Patron Mexican Grill,3.5,3,11225,Mexican,Mexican,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
113,Panchitas Place,4.5,2,11215,"Bars, Breakfast & Brunch, Mexican",Mexican,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
114,Fonda Park Slope,4.0,3,11215,"Mexican, Salad, Breakfast & Brunch",Mexican,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
115,Gordo's Cantina,4.0,2,11237,Mexican,Mexican,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
116,Don Pancho Villa Restaurant,3.5,2,11211,"Tex-Mex, Mexican",Mexican,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
117,Amaranto Mexican Restaurant,4.5,2,11237,Mexican,Mexican,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
118,Tacombi,4.0,2,11217,Mexican,Mexican,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
119,Mesa Coyoacan,4.0,2,11211,"Mexican, Bars",Mexican,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
120,Nacho Macho Taco,4.5,1,11217,Mexican,Mexican,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
121,Los Tres Chiflados,4.0,2,11226,Mexican,Mexican,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
122,Tiny's Cantina,4.5,2,11217,"Mexican, Cocktail Bars",Mexican,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
123,Tacombi,4.5,2,11211,Mexican,Mexican,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
124,Miti Miti,4.0,2,11217,"Latin American, Mexican, Breakfast & Brunch",Mexican,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
125,La Contenta,4.5,2,10002,"Mexican, Bars, Breakfast & Brunch",Mexican,"Brooklyn, NY",Manhattan,99880,1596273,28.1,45.5
126,Mesa Azteca,4.0,2,11237,Mexican,Mexican,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
127,El Jeffe,4.5,2,11216,New Mexican Cuisine,Mexican,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
128,Xixa,4.5,3,11211,"Mexican, Tapas/Small Plates, Cocktail Bars",Mexican,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
129,Purepecha,4.5,2,11201,Mexican,Mexican,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
130,Jajaja Mexicana,4.5,2,11249,"Mexican, Vegan, Cocktail Bars",Mexican,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
131,Leyenda,4.0,2,11201,"Latin American, Mexican, Cocktail Bars",Mexican,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
132,Bar Verde,4.5,2,10003,"Mexican, Vegan, Gluten-Free",Mexican,"Brooklyn, NY",Manhattan,99880,1596273,28.1,45.5
133,Oxomoco,4.0,3,11222,Mexican,Mexican,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
134,Rosa Mexicano,3.5,2,10003,Mexican,Mexican,"Brooklyn, NY",Manhattan,99880,1596273,28.1,45.5
135,Nacho Macho Taco,4.0,2,11238,Mexican,Mexican,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
136,Las Chelitas,4.5,2,11228,Mexican,Mexican,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
137,Rosa Mexicano,3.5,2,10023,Mexican,Mexican,"Brooklyn, NY",Manhattan,99880,1596273,28.1,45.5
138,Jajaja Mexicana,4.5,2,10014,"Mexican, Vegan, Cocktail Bars",Mexican,"Brooklyn, NY",Manhattan,99880,1596273,28.1,45.5
139,Ho' Brah a Taco Joint,4.0,2,11209,"Mexican, Cocktail Bars, Hawaiian",Mexican,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
140,Ital Kitchen,4.5,2,11225,"Vegetarian, Vegan",Kosher,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
141,Traif,4.5,0,11211,"New American, Tapas/Small Plates",Kosher,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
142,Izzy's Brooklyn Smokehouse,4.0,3,11213,"Barbeque, Kosher, Smokehouse",Kosher,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
143,Bunna Cafe,4.5,2,11237,"Ethiopian, Vegan, African",Kosher,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
144,T Fusion Steakhouse,4.0,3,11234,"Steakhouses, Kosher, Venues & Event Spaces",Kosher,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
145,Miriam,4.0,2,11217,"Wine Bars, Mediterranean, Breakfast & Brunch",Kosher,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
146,Bison & Bourbon,3.0,0,11215,"Kosher, Burgers, American",Kosher,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
147,Reunion,4.5,2,11211,"Breakfast & Brunch, Middle Eastern, Cocktail Bars",Kosher,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
148,ALENbi,3.5,0,11225,"Middle Eastern, Kosher",Kosher,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
149,Yemen Cafe & Restaurant,4.5,2,11201,"Middle Eastern, Cafes, Soup",Kosher,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
150,The Loft Steakhouse,4.5,3,11218,"Steakhouses, Kosher",Kosher,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
151,David's Restaurant,4.5,2,11223,"Kosher, Middle Eastern",Kosher,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
152,Milk & Honey Cafe,4.0,2,11230,"Coffee & Tea, Desserts, Breakfast & Brunch",Kosher,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
153,David's Brisket House and Deli,4.0,2,11216,"Delis, Sandwiches, Burgers",Kosher,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
154,12 Chairs Cafe,4.0,2,11249,"Middle Eastern, Breakfast & Brunch, Mediterranean",Kosher,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
155,Bordeaux,4.5,3,11230,"Kosher, Steakhouses, New American",Kosher,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
156,Patrizia's - Williamsburg,4.0,2,11249,"Pizza, Italian",Kosher,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
157,Laser Wolf,4.5,3,11249,"Middle Eastern, Desserts, Cocktail Bars",Kosher,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
158,19 Cleveland,4.0,2,10012,Mediterranean,Kosher,"Brooklyn, NY",Manhattan,99880,1596273,28.1,45.5
159,Orchidea,4.0,3,11219,"Kosher, New American",Kosher,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
160,Luanne's Wild Ginger,4.5,2,11205,"Vegan, Kosher",Kosher,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
161,Shalom Japan,4.0,3,11211,Japanese,Kosher,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
162,Karczma,4.5,2,11222,Polish,Kosher,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
163,Ravagh Persian Grill,4.0,2,10016,"Middle Eastern, Persian/Iranian, Mediterranean",Kosher,"Brooklyn, NY",Manhattan,99880,1596273,28.1,45.5
164,Boeuf & Bun,3.5,2,11213,Burgers,Kosher,"Brooklyn, NY",Brooklyn,74692,2590516,35.3,36.7
