name,rating,price,zip_code,categories,cuisine,borough
Rustico Taverna,4.5,Not Available,11385,"Italian, Pizza",Italian,"Queens, NY"
Don Peppe,4.0,$$$,11420,"Italian, Desserts, Seafood",Italian,"Queens, NY"
Fuzi Pasta Co,4.5,$$,11365,"Pasta Shops, Italian",Italian,"Queens, NY"
Trattoria 35,4.0,$$,11361,"Pizza, Italian",Italian,"Queens, NY"
Il Poeta,4.0,$$,11375,"Italian, Wine Bars",Italian,"Queens, NY"
Sotto La Luna,4.5,Not Available,11106,"Italian, Pizza",Italian,"Queens, NY"
Bruno's Ristorante,4.5,$$,11414,Italian,Italian,"Queens, NY"
Concettina Restaurant,4.5,Not Available,11357,"Italian, Southern, Mediterranean",Italian,"Queens, NY"
Palermo Restaurant & Bar,4.5,$$,11105,"Italian, Bars",Italian,"Queens, NY"
La Vigna Restaurant,3.5,$$,11375,Italian,Italian,"Queens, NY"
Villaggio Ristorante Italian Bistro,4.0,$$,11357,"Italian, Seafood, Salad",Italian,"Queens, NY"
Riviera Ristorante,4.5,$$,11357,Italian,Italian,"Queens, NY"
SoleLuna Restaurant,4.5,$$,11104,"Cafes, Italian, Breakfast & Brunch",Italian,"Queens, NY"
Barosa,3.5,$$,11374,"Italian, Seafood, Pizza",Italian,"Queens, NY"
Dee's Wood Fired Pizza & Kitchen,4.0,$$,11375,"Pizza, Italian, American",Italian,"Queens, NY"
Portofino Ristorante,3.0,$$$,11375,"Italian, Salad, Soup",Italian,"Queens, NY"
Vetro Restaurant & Lounge,4.5,$$$,11414,"Italian, Lounges, Venues & Event Spaces",Italian,"Queens, NY"
Acquista Trattoria,4.0,$$,11366,"Pizza, Italian",Italian,"Queens, NY"
Luigi's Restaurant & Bar,4.0,$$,11040,Italian,Italian,"Queens, NY"
Piatto,4.0,$$,11101,"Pizza, Italian, Wine Bars",Italian,"Queens, NY"
Da Andrea - Greenwich Village,4.5,$$,10011,"Italian, Mediterranean, Breakfast & Brunch",Italian,"Queens, NY"
Maggiano's Little Italy - Garden City,4.0,$$,11530,"Bars, Italian",Italian,"Queens, NY"
Armondo's Italian Restaurant,4.5,$$$,11372,Italian,Italian,"Queens, NY"
Rocco’s of Roc Beach Coal Brick Oven Pizza ,4.5,Not Available,11694,"Pizza, Italian",Italian,"Queens, NY"
Joe's Restaurant,4.0,$$,11385,Italian,Italian,"Queens, NY"
Antonio's Trattoria,4.5,$$,10458,"Italian, Pizza, Desserts",Italian,"Queens, NY"
Lupo Rosso,4.5,Not Available,11101,"Pizza, Italian, Cocktail Bars",Italian,"Queens, NY"
Zio Luigi,4.5,$$,11104,Italian,Italian,"Queens, NY"
Bloom Botanical Bistro,4.5,Not Available,11375,"New American, Cocktail Bars, Vegetarian",Italian,"Queens, NY"
Olio e Più,4.5,$$,10014,"Pizza, Italian, Cocktail Bars",Italian,"Queens, NY"
Sotto Le Stelle,4.5,$$,11104,Pizza,Italian,"Queens, NY"
Villa Erasmo,4.0,$$,11379,Italian,Italian,"Queens, NY"
Il Falco,4.5,$$$,11101,"Italian, Venues & Event Spaces, Wine Bars",Italian,"Queens, NY"
Il Bacco Ristorante,3.5,$$$,11362,"Italian, Pizza, Wine Bars",Italian,"Queens, NY"
Antica Trattoria,4.0,$$,11385,Italian,Italian,"Queens, NY"
LÌOLÀ,4.0,$$$$,11357,Italian,Italian,"Queens, NY"
IL Nocello Ristorante,4.0,$$,11357,Italian,Italian,"Queens, NY"
Ammazzacaffè,4.5,$$,11211,"Cocktail Bars, Italian, Wine Bars",Italian,"Queens, NY"
Graziella Restaurant,4.0,$$,11358,Italian,Italian,"Queens, NY"
Macoletta Brick Oven Pizzeria,4.5,$$,11102,"Pizza, Italian",Italian,"Queens, NY"
Via Trenta Osteria,4.0,$$,11103,"Italian, Wine Bars",Italian,"Queens, NY"
Vesta,4.5,$$,11102,"Italian, Wine Bars",Italian,"Queens, NY"
Primo Amore Italian Restaurant,4.0,$$,11358,Italian,Italian,"Queens, NY"
Papazzio Restaurant,4.0,$$,11361,"Italian, Jazz & Blues, Wine Bars",Italian,"Queens, NY"
Piccola Cucina Uptown,4.5,$$$,10022,Sicilian,Italian,"Queens, NY"
Tavern 157,4.5,$$,11354,"Lounges, Steakhouses, New American",American,"Queens, NY"
Valdari NYC,4.0,Not Available,11361,"Italian, Pizza, Cocktail Bars",American,"Queens, NY"
Luna's Kitchen & Bar,4.5,$$,11372,"New American, Cocktail Bars, Breakfast & Brunch",American,"Queens, NY"
Dinerbar,4.0,$$,11374,"Diners, Wine Bars, American",American,"Queens, NY"
The Shady Lady,4.0,$$,11103,"Breakfast & Brunch, Bars, Comfort Food",American,"Queens, NY"
The Pomeroy,4.5,$$,11105,"New American, Bars",American,"Queens, NY"
The Lazy Cow,4.0,$$,11361,"Gastropubs, New American, Cocktail Bars",American,"Queens, NY"
Forest Hills Station House,4.0,$$,11375,"Gastropubs, Cocktail Bars, Beer Bar",American,"Queens, NY"
White Radish,4.0,$$,11375,"New American, Diners, Wine Bars",American,"Queens, NY"
Mom's Kitchen & Bar,4.0,$$,11102,"Bars, American, Breakfast & Brunch",American,"Queens, NY"
Rove,4.0,$$,11375,"American, Gastropubs, Beer Bar",American,"Queens, NY"
Trestle,4.5,$$,11106,"Cocktail Bars, New American, Breakfast & Brunch",American,"Queens, NY"
Prime Mēt Steakhouse,4.0,$$$,11354,"Steakhouses, Seafood, New American",American,"Queens, NY"
Rollin Heros,5.0,Not Available,11377,"Sandwiches, Breakfast & Brunch, Burgers",American,"Queens, NY"
The Alcove,4.5,$$,11104,"Gastropubs, Tapas Bars, Breakfast & Brunch",American,"Queens, NY"
Oliver's Astoria,4.0,$$,11103,"New American, Breakfast & Brunch, Cocktail Bars",American,"Queens, NY"
The Cabin NYC,4.0,$$,10009,"New American, Cocktail Bars, Breakfast & Brunch",American,"Queens, NY"
The Queensboro,4.0,$$,11372,"Gastropubs, New American, Breakfast & Brunch",American,"Queens, NY"
Carla,4.5,$$,11101,"New American, Burgers, Cocktail Bars",American,"Queens, NY"
The Beast Next Door,4.5,$$,11101,"New American, Tapas/Small Plates, Wine Bars",American,"Queens, NY"
Arcadia Bar & Kitchen,4.5,$$,11102,"Cocktail Bars, New American, Tacos",American,"Queens, NY"
The Bonnie,4.0,$$,11105,"Gastropubs, New American, Breakfast & Brunch",American,"Queens, NY"
The Highwater,4.0,$$,11106,"New American, Tiki Bars, Breakfast & Brunch",American,"Queens, NY"
Mom's Kitchen & Bar,4.5,$$,10019,"Comfort Food, Breakfast & Brunch, Bars",American,"Queens, NY"
The Sweet Sap,4.0,$$,11358,"New American, Korean, Cocktail Bars",American,"Queens, NY"
The Brewery Bar & Kitchen,4.5,$$,11377,"Sports Bars, American, Irish Pub",American,"Queens, NY"
Fogo de Chão Brazilian Steakhouse,4.0,$$$$,11373,"Brazilian, Seafood, Steakhouses",American,"Queens, NY"
Veranda Restaurant & Cafe,4.0,$$,11361,"Mediterranean, American, Greek",American,"Queens, NY"
THE HUNTRESS whiskey n' wings,4.0,$$,11101,"Chicken Wings, Burgers, Cocktail Bars",American,"Queens, NY"
Queens Bully,3.5,$$,11375,"Gastropubs, Cocktail Bars, Breakfast & Brunch",American,"Queens, NY"
Jagerhaus German Restaurant & Biergarten,4.0,$$,11357,"German, Beer Bar, American",American,"Queens, NY"
Fillmore's Tavern,4.0,$$,11365,"Pubs, Burgers, Desserts",American,"Queens, NY"
Vegoist,4.0,$$,11101,"New American, Bars, Vegan",American,"Queens, NY"
Dirty Pierre's,4.0,$$,11375,"Bars, Breakfast & Brunch, Sandwiches",American,"Queens, NY"
Sanger Hall,4.0,$$,11104,"Burgers, Cocktail Bars, Beer, Wine & Spirits",American,"Queens, NY"
Side Hustle,4.5,Not Available,11101,Gastropubs,American,"Queens, NY"
The Lowery Bar & Kitchen,4.5,$$,11104,"New American, Cocktail Bars, Sports Bars",American,"Queens, NY"
Julia's,4.5,$$,11385,"Bars, New American",American,"Queens, NY"
Keuka Kafe a Wine Bar,4.5,$$,11375,"New American, Sandwiches, Wine Bars",American,"Queens, NY"
Halsey's,4.5,$$,11102,"New American, Cocktail Bars",American,"Queens, NY"
Sanfords Astoria,4.0,$$,11106,"Breakfast & Brunch, New American, Whiskey Bars",American,"Queens, NY"
Pig Beach BBQ - Queens,4.0,$$,11106,"Barbeque, Bars, Sandwiches",American,"Queens, NY"
Uncle Peter's,4.0,$$,11372,"Italian, Spanish, New American",American,"Queens, NY"
RH Rooftop Restaurant New York,4.0,$$$,10014,"American, Wine Bars",American,"Queens, NY"
Matiz Latin Cuisine,4.0,$$,11375,"Latin American, Bars",American,"Queens, NY"
The Local Press,4.5,$$,11417,"Salad, Burgers, Sandwiches",American,"Queens, NY"
The Weekender,4.5,$,11377,"Pool Halls, Himalayan/Nepalese, Bars",American,"Queens, NY"
Jackson's Eatery | Bar,4.5,$$,11101,"Bars, Breakfast & Brunch, New American",American,"Queens, NY"
Florence Prime Diner,4.5,Not Available,11373,"Diners, Breakfast & Brunch, Burgers",American,"Queens, NY"
RW Prime,4.0,Not Available,11420,Steakhouses,American,"Queens, NY"
Izakaya Nana,4.5,$$$,11354,Izakaya,Japanese,"Queens, NY"
Izakaya Fuku,4.5,$$,11372,Japanese,Japanese,"Queens, NY"
Masaaki Modern Japanese Cuisine,4.0,Not Available,11361,Japanese,Japanese,"Queens, NY"
Umi Sushi,4.5,$$,11366,"Japanese, Sushi Bars",Japanese,"Queens, NY"
Mito,4.0,$$,11375,"Japanese, Sushi Bars, Asian Fusion",Japanese,"Queens, NY"
Akagi Japanese Cuisine,4.5,Not Available,11418,"Sushi Bars, Ramen, Soup",Japanese,"Queens, NY"
Sake Kawa,4.5,$$$,11106,"Sushi Bars, Ramen",Japanese,"Queens, NY"
Katsuno,4.0,$$$,11375,"Japanese, Sushi Bars",Japanese,"Queens, NY"
Sushi Time,4.5,$$,11375,"Sushi Bars, Japanese",Japanese,"Queens, NY"
Kyuramen - Forest Hills,4.0,Not Available,11375,Ramen,Japanese,"Queens, NY"
SOBOKU,5.0,Not Available,11231,Japanese,Japanese,"Queens, NY"
Iki Modern Japanese Cuisine,4.0,$$$,11354,"Japanese, Sushi Bars",Japanese,"Queens, NY"
Kyuramen - Bayside,4.5,$$,11361,"Ramen, Noodles",Japanese,"Queens, NY"
Himitsu,4.5,Not Available,11354,"Sushi Bars, Japanese, Thai",Japanese,"Queens, NY"
Beat Mazesoba,4.5,$$,11358,"Ramen, Noodles, Beer Bar",Japanese,"Queens, NY"
Sushi By Kuryu,5.0,Not Available,11577,"Sushi Bars, Japanese, Seafood",Japanese,"Queens, NY"
Bamboo Ya,4.0,$$,11375,"Sushi Bars, Japanese, Wine Bars",Japanese,"Queens, NY"
Vert Frais,4.5,Not Available,11101,"Cocktail Bars, Ramen",Japanese,"Queens, NY"
Shogun Hibachi,4.0,$$,11375,"Japanese, Sushi Bars",Japanese,"Queens, NY"
Kaizen,4.5,Not Available,11354,"Sushi Bars, Japanese, Cocktail Bars",Japanese,"Queens, NY"
Matsuri,4.5,$$,11377,Japanese,Japanese,"Queens, NY"
Hashi Ramen and Izakaya,4.0,$$,11358,"Ramen, Sushi Bars",Japanese,"Queens, NY"
Ooi Sushi and Bar,4.5,$$,11101,"Sushi Bars, Bars, Japanese",Japanese,"Queens, NY"
Omatoya,5.0,Not Available,11378,"Sushi Bars, Japanese",Japanese,"Queens, NY"
Gyu-Kaku Japanese BBQ,4.5,$$,11354,"Barbeque, Japanese, Asian Fusion",Japanese,"Queens, NY"
Kanji Sushi Hibachi - Ridgewood,4.5,Not Available,11385,"Sushi Bars, Japanese, Asian Fusion",Japanese,"Queens, NY"
mochiron Izakaya,4.0,$$,11103,"Izakaya, Ramen",Japanese,"Queens, NY"
Dashi Okume,4.5,Not Available,11222,Japanese,Japanese,"Queens, NY"
Joon Omakase,4.5,Not Available,11358,Sushi Bars,Japanese,"Queens, NY"
Akino,4.0,$$$,11373,"Sushi Bars, Japanese",Japanese,"Queens, NY"
Verge,5.0,Not Available,11222,"Sushi Bars, Japanese, Asian Fusion",Japanese,"Queens, NY"
Tamashii Gold,4.0,$$,11361,Ramen,Japanese,"Queens, NY"
Ginza Don,5.0,Not Available,11355,Japanese,Japanese,"Queens, NY"
Tara Japanese Cuisine,4.0,$$$,11362,"Sushi Bars, Japanese, Seafood",Japanese,"Queens, NY"
Sushi Nikko,4.5,Not Available,11101,Sushi Bars,Japanese,"Queens, NY"
That Place,5.0,$$$$,11106,"Japanese, Sushi Bars",Japanese,"Queens, NY"
Susuru,4.5,$$,11106,"Ramen, Noodles",Japanese,"Queens, NY"
Cha Menya,4.5,$$,11362,"Ramen, Tea Rooms, Vegetarian",Japanese,"Queens, NY"
Suzuki Shokudo,4.5,$$,11101,"Sushi Bars, Ramen",Japanese,"Queens, NY"
Ariyoshi,3.5,$$,11104,Japanese,Japanese,"Queens, NY"
Nippon Cha,4.0,$$,11361,Ramen,Japanese,"Queens, NY"
Sushi On Me,5.0,$$$$,11372,"Japanese, Sushi Bars, Speakeasies",Japanese,"Queens, NY"
Mito,3.5,$$,11360,"Japanese, Sushi Bars, Bars",Japanese,"Queens, NY"
GAN-HOO BBQ,4.5,$$$,11354,"Barbeque, Chinese, Japanese",Japanese,"Queens, NY"
Yoi Sushi Japanese,4.0,$$,11354,"Sushi Bars, Ramen",Japanese,"Queens, NY"
Salute Revolving Sushi,4.0,Not Available,11354,"Japanese, Sushi Bars",Japanese,"Queens, NY"
Sama Street,5.0,$$$,11222,"Cocktail Bars, Pan Asian, Tapas/Small Plates",Japanese,"Queens, NY"
Kaiyo Omakase,4.5,Not Available,11101,"Japanese, Sushi Bars, Seafood",Japanese,"Queens, NY"
Tamashii Red,4.0,$$,11375,Ramen,Japanese,"Queens, NY"
Hibino,4.0,$$,11101,"Japanese, Sushi Bars",Japanese,"Queens, NY"
Lime & Salt,4.5,Not Available,11374,"New Mexican Cuisine, Mexican",Mexican,"Queens, NY"
Ruta Oaxaca Mexican Cuisine,4.5,$$$,11106,"Mexican, Breakfast & Brunch, Cocktail Bars",Mexican,"Queens, NY"
The Mas Chingon,4.5,Not Available,11358,"Mexican, Diners, Breakfast & Brunch",Mexican,"Queens, NY"
Las Catrinas Mexican Bar & Eatery,4.0,$$,11106,"Cocktail Bars, Tacos",Mexican,"Queens, NY"
Don Tequila Urban Cantina,3.5,$$,11385,"Mexican, Cocktail Bars",Mexican,"Queens, NY"
El Mero Mero,4.5,$$,11101,Mexican,Mexican,"Queens, NY"
Luisa Cocina Mexicana,5.0,Not Available,11237,Mexican,Mexican,"Queens, NY"
Spanglish NYC,4.0,Not Available,11361,"Mexican, Beer, Wine & Spirits, Cocktail Bars",Mexican,"Queens, NY"
Mas Tortilla,4.5,$$,11375,Mexican,Mexican,"Queens, NY"
Chela & Garnacha,4.5,$$,11106,"Mexican, Wine Bars, Breakfast & Brunch",Mexican,"Queens, NY"
The Alcove,4.5,$$,11104,"Gastropubs, Tapas Bars, Breakfast & Brunch",Mexican,"Queens, NY"
Hoja Santa,4.5,Not Available,11103,"New Mexican Cuisine, Mexican, Breakfast & Brunch",Mexican,"Queens, NY"
Fresco's Cantina,4.5,$$,11106,Mexican,Mexican,"Queens, NY"
El Coyote - Forest Hills,3.0,$$,11375,"Mexican, Cocktail Bars",Mexican,"Queens, NY"
Ayy Chihuahua,4.5,Not Available,11105,"Mexican, Cocktail Bars",Mexican,"Queens, NY"
Taqueria Coatzingo,4.0,$$,11372,Mexican,Mexican,"Queens, NY"
La Tiendita Taqueria,4.0,$$,11103,Tacos,Mexican,"Queens, NY"
Tepache Taste Of Mexico,4.5,Not Available,11580,"Mexican, New Mexican Cuisine, Breakfast & Brunch",Mexican,"Queens, NY"
Tacuba,4.0,$$,11106,"Mexican, Latin American, Cocktail Bars",Mexican,"Queens, NY"
Taco Tumba,4.0,Not Available,11103,"Tacos, Cocktail Bars",Mexican,"Queens, NY"
5 Burro Cafe,3.5,$$,11375,"Mexican, Cocktail Bars",Mexican,"Queens, NY"
Carla,4.5,$$,11101,"New American, Burgers, Cocktail Bars",Mexican,"Queens, NY"
Casa Azul,4.5,$$,11215,"Mexican, Cocktail Bars",Mexican,"Queens, NY"
Dulce Cultura,4.5,$$,11103,"Mexican, Breakfast & Brunch, Bars",Mexican,"Queens, NY"
Mojo Restaurant,4.0,$$,11375,Latin American,Mexican,"Queens, NY"
¡AY GÜEY! Cantina Y Cocina,5.0,Not Available,11377,"Mexican, Cocktail Bars",Mexican,"Queens, NY"
La catrina queens,4.5,Not Available,11378,"Mexican, Breakfast & Brunch, Cocktail Bars",Mexican,"Queens, NY"
Tacombi,4.0,$$,11375,Tacos,Mexican,"Queens, NY"
El Ranchero Mexican Restaurant,4.5,Not Available,11358,Tacos,Mexican,"Queens, NY"
Vida Verde,4.5,$$,10019,"Cocktail Bars, Mexican, Venues & Event Spaces",Mexican,"Queens, NY"
Chihuahua,4.5,$$,11104,Mexican,Mexican,"Queens, NY"
Metro Taco,4.5,$$,11375,"Tacos, Tapas/Small Plates, Cocktail Bars",Mexican,"Queens, NY"
El Patron,3.5,$$,11358,Mexican,Mexican,"Queens, NY"
Casa Enrique,4.0,$$,11101,Mexican,Mexican,"Queens, NY"
La Contenta,4.5,$$,10002,"Mexican, Bars, Breakfast & Brunch",Mexican,"Queens, NY"
Casa Margaritas,4.5,$$,11426,"Mexican, Colombian, Spanish",Mexican,"Queens, NY"
Taco Azul,4.0,$$,11357,Mexican,Mexican,"Queens, NY"
Sangarita's,4.0,$$,11361,"Spanish, Tapas Bars, Mediterranean",Mexican,"Queens, NY"
Cielito NYC,4.0,Not Available,11106,"Cocktail Bars, Mexican",Mexican,"Queens, NY"
Las Margaritas,4.0,Not Available,11103,"Bars, Mexican",Mexican,"Queens, NY"
Jajaja Mexicana,4.5,$$,10014,"Mexican, Vegan, Cocktail Bars",Mexican,"Queens, NY"
Molcajete Mexican Restaurant,4.0,$$,11372,"Mexican, Bars, Spanish",Mexican,"Queens, NY"
Fidela's Restaurant,4.0,$,11365,Mexican,Mexican,"Queens, NY"
Toloache 50,4.0,$$$,10012,Mexican,Mexican,"Queens, NY"
Kandela NYC,3.5,$$,11417,"Mexican, Sports Bars, New American",Mexican,"Queens, NY"
Las Margaritas Restaurant & Bar,4.0,$$,11385,"Mexican, Bars, Spanish",Mexican,"Queens, NY"
Taqueria El Patron,4.5,Not Available,11385,Mexican,Mexican,"Queens, NY"
Taqueria Santa Fe,4.5,$,11377,Mexican,Mexican,"Queens, NY"
Moho Mexican Grill,4.0,$$,11361,"Mexican, Halal",Mexican,"Queens, NY"
Hot Peppers,4.5,$$,11364,"Halal, Tacos, Salad",Mexican,"Queens, NY"
Kin'd,4.5,$$,11366,Thai,Kosher,"Queens, NY"
Marani,4.5,$$,11374,"Mediterranean, Kosher, Georgian",Kosher,"Queens, NY"
Taste of Samarkand,4.5,$$,11374,"Uzbek, Kosher",Kosher,"Queens, NY"
Nadezhda Restaurant,3.5,$$,11375,"Kosher, Russian, Afghan",Kosher,"Queens, NY"
Stix Kosher Restaurant,4.0,$$,11375,"Kosher, Middle Eastern, Uzbek",Kosher,"Queens, NY"
Jujube Tree,4.5,$$,11103,"Vegan, Asian Fusion",Kosher,"Queens, NY"
Art Of Grill,4.0,Not Available,11374,"Kosher, Mediterranean, Steakhouses",Kosher,"Queens, NY"
Salute,3.5,$$,11375,"Middle Eastern, Uzbek, Kosher",Kosher,"Queens, NY"
Hapisgah,3.5,$$$,11367,"Kosher, Steakhouses",Kosher,"Queens, NY"
Cheburechnaya,4.0,$$,11374,"Kosher, Russian, Uzbek",Kosher,"Queens, NY"
Paprika Restaurant,4.5,Not Available,11021,"Kosher, Moroccan, Mediterranean",Kosher,"Queens, NY"
Grill Point,4.0,$$,11367,"Middle Eastern, Kosher, Mediterranean",Kosher,"Queens, NY"
Ganey Orly,4.5,$$,11374,"Kosher, Middle Eastern",Kosher,"Queens, NY"
Black Sea Fish & Grill,4.0,$$$,11374,"Mediterranean, Turkish, Seafood",Kosher,"Queens, NY"
Trattoria L'incontro,4.5,$$$,11105,"Italian, Pizza, Salad",Kosher,"Queens, NY"
Turquoise Kosher Fish Restaurant,4.0,$$,11366,"Seafood, Kosher",Kosher,"Queens, NY"
Ravagh Persian Grill,4.5,$$,11577,"Middle Eastern, Persian/Iranian, Seafood",Kosher,"Queens, NY"
Näna Good Eats,4.5,Not Available,11357,"Middle Eastern, Falafel, Kosher",Kosher,"Queens, NY"
Metsuyan Blue Restaurant,3.5,Not Available,11367,"Sushi Bars, Steakhouses, Kosher",Kosher,"Queens, NY"
Djerdan Burek Astoria,4.0,$$,11106,"Turkish, Modern European",Kosher,"Queens, NY"
Mezze,4.0,Not Available,11375,"Mediterranean, Pizza, Kosher",Kosher,"Queens, NY"
Turnpike Burgers Grill,4.5,Not Available,11367,"Burgers, American",Kosher,"Queens, NY"
Ovelia,4.0,$$,11103,"Greek, Mediterranean",Kosher,"Queens, NY"
Rafaelis Palace,4.0,Not Available,11375,"Venues & Event Spaces, Kosher, Uzbek",Kosher,"Queens, NY"
Pahal Zan,4.0,$$,11375,"Middle Eastern, Falafel, Kosher",Kosher,"Queens, NY"
Cafe Premiata,4.0,Not Available,11367,"Kosher, Mediterranean",Kosher,"Queens, NY"
Liebman's Kosher Delicatessen,4.0,$$,10463,"Delis, Kosher",Kosher,"Queens, NY"
Colbeh,4.0,$$,11021,"Persian/Iranian, Kosher",Kosher,"Queens, NY"
Bodhi Village,4.0,$$,11355,"Vegetarian, Chinese, Kosher",Kosher,"Queens, NY"
Cafe Muscat,3.5,$$,11366,"Kosher, Coffee & Tea, Sushi Bars",Kosher,"Queens, NY"
Malka NYC,5.0,Not Available,10023,Kosher,Kosher,"Queens, NY"
Kensington Kosher Deli,4.0,$$,11021,"Kosher, Delis",Kosher,"Queens, NY"
Abaita,4.5,Not Available,10017,"Mediterranean, Kosher, Pizza",Kosher,"Queens, NY"
Pastrami Express,4.5,$$,11783,Delis,Kosher,"Queens, NY"
Barnea Bistro,4.5,Not Available,10017,"French, Wine Bars, Beer Bar",Kosher,"Queens, NY"
Epstein's Kosher Delicatessen & Restaurant,3.0,$$,10530,"American, Delis, Kosher",Kosher,"Queens, NY"
Knish Nosh,4.0,$$,11374,Kosher,Kosher,"Queens, NY"
Zen Garden,4.5,$$,11021,"Vegetarian, Vegan, Chinese",Kosher,"Queens, NY"
Five Fifty Steakhouse,4.0,$$$,11516,"Kosher, Steakhouses",Kosher,"Queens, NY"
Green Olive Pizza & Falafel,4.0,$,11040,"Kosher, Mediterranean, Pizza",Kosher,"Queens, NY"
Shiraz,4.0,$$,11024,"Persian/Iranian, Mediterranean",Kosher,"Queens, NY"
Mezze,4.0,Not Available,11357,Mediterranean,Kosher,"Queens, NY"
Cho-Sen Garden,3.5,$$,11375,"Chinese, Kosher",Kosher,"Queens, NY"
Masuda Omakase,5.0,Not Available,10018,"Sushi Bars, Personal Chefs, Kosher",Kosher,"Queens, NY"
Sizzle Falafel Bar & Shawarma,4.0,$$,11366,"Kosher, Middle Eastern, Sandwiches",Kosher,"Queens, NY"
David's Brisket House and Deli,4.0,$$,11216,"Delis, Sandwiches, Burgers",Kosher,"Queens, NY"
Ben's Kosher Delicatessen Restaurant & Caterers,3.5,$$,11514,"Delis, Kosher",Kosher,"Queens, NY"
Holy Schnitzel,3.5,$$,11367,"Kosher, Burgers, Sandwiches",Kosher,"Queens, NY"
Lola,4.0,$$$,11021,Mediterranean,Kosher,"Queens, NY"
Trattoria 35,4.0,$$,11361,"Pizza, Italian",Kosher,"Queens, NY"
Nino's Restaurant,4.5,$$,10305,Italian,Italian,"Staten Island, NY"
Pastavino,4.5,$$$,10304,"Italian, Wine Bars",Italian,"Staten Island, NY"
Trattoria Toscana,4.5,Not Available,10308,"Italian, Pizza, Cocktail Bars",Italian,"Staten Island, NY"
Giuliana's,4.5,$$,10308,Italian,Italian,"Staten Island, NY"
Deluca's Italian Restaurant,4.5,$$$,10307,"Italian, Seafood, Cocktail Bars",Italian,"Staten Island, NY"
Piccolino Ristorante,4.0,$$,10308,Italian,Italian,"Staten Island, NY"
Patrizia's of Staten Island,4.0,$$$,10308,"Italian, Pizza",Italian,"Staten Island, NY"
Angel's Tavern,4.5,Not Available,10314,"Mediterranean, Italian, American",Italian,"Staten Island, NY"
Enoteca Maria,4.0,$$$,10301,Italian,Italian,"Staten Island, NY"
Basilio Inn,4.5,$$,10305,"Italian, New American",Italian,"Staten Island, NY"
Mimmo's Brick Oven Pizza and Trattoria,4.5,$$,10308,"Pizza, Italian, Venues & Event Spaces",Italian,"Staten Island, NY"
